px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.4645	-5.17447	-2.77727	2.2422	0.530823	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.00846347
7.52692	-5.33264	-2.79279	2.23512	0.493752	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	1.26159
7.61333	-5.45992	-2.78567	2.25113	0.479918	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.0032522
7.69081	-5.60044	-2.79356	2.2563	0.45828	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.407052
7.76614	-5.71941	-2.76401	2.26416	0.436954	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.0117546
7.82895	-5.86879	-2.771	2.25367	0.401992	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.99714
7.94202	-5.99527	-2.85121	2.28921	0.428562	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	0.0790577
8.0106	-6.13642	-2.86392	2.28046	0.397594	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.863818
8.10427	-6.25968	-2.84671	2.29154	0.383433	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0.00986499
8.19255	-6.39609	-2.85291	2.29471	0.365082	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.271182
8.27563	-6.51188	-2.82244	2.30072	0.348226	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.0118582
8.34418	-6.66224	-2.82813	2.28406	0.311893	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.966776
8.43375	-6.78112	-2.81791	2.2926	0.302633	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.00264707
8.51238	-6.91692	-2.81851	2.28669	0.279926	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.388137
8.58728	-7.02236	-2.79541	2.28939	0.266802	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.00737776
8.64343	-7.16206	-2.79958	2.26698	0.230796	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.976239
8.75144	-7.28584	-2.86167	2.28624	0.244997	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	0.0483938
8.81148	-7.43332	-2.87102	2.26146	0.207634	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.09203
8.88134	-7.55187	-2.80787	2.25047	0.1779	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	0.0602257
8.94355	-7.69986	-2.80802	2.22831	0.14586	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.786716
9.02366	-7.81649	-2.8119	2.23022	0.141016	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.000594123
9.06945	-7.96251	-2.81451	2.19938	0.103123	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.10644
9.11336	-8.07863	-2.73267	2.17398	0.0621942	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	0.0856848
9.16497	-8.22186	-2.72829	2.15027	0.0351705	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.696511
9.24214	-8.34334	-2.74472	2.15211	0.0374201	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.00294963
